#https://www.iec.cat/llengua/documents/ORTOGRAFIA-Modificacions%20entrades%20DIEC2.pdf
#1.1. Mots prefixats i compostos amb el segon formant començat per r	
arítmia	arrítmia
arítmic	arrítmic
arizòfit	arrizòfit
arizotònic	arrizotònic
burínids	burrínids
carcarínids	carcarrínids
catarins	catarrins
cefaloraquidi	cefalorraquidi
cetorínids	cetorrínids
cinorincs	cinorrincs
cinoròdon	cinorròdon
coredemptor	corredemptor
coreferència	correferència
coreferent	correferent
coregència	corregència
coregent	corregent
coregnant	corregnant
coregnar	corregnar
coreligionari	correligionari
eradicació	erradicació
eradicar	erradicar
eradicatiu	erradicatiu
esciliorínids	esciliorrínids
glicoràquia	glicorràquia
glucoràquia	glucorràquia
micoriza	micorriza
micorizació	micorrizació
micorizar	micorrizar
micorízic	micorrízic
micorizogen	micorrizogen
ornitorinc	ornitorrinc
ornitorínquids	ornitorrínquids
otorinolaringòleg	otorrinolaringòleg
otorinolaringologia	otorrinolaringologia
oxirinc	oxirrinc
piloriza	pilorriza
platirins	platirrins
#1.2. Ús del guionet en	mots compostos i prefixats
agnus-dei	agnusdei
cloc-piu	clocpiu
cori-mori	corimori
a corre-corrents	a correcorrents
a corre-cuita	a correcuita
a cuita-corrents	a cuitacorrents
ex-libris	exlibris
foie gras	foie-gras
a mata-degolla	a matadegolla
nap-buf	napbuf
rat-buf	ratbuf
suca-mulla	sucamulla
#1.3. Mots compostos i prefixats amb el	segon formant començat per s seguida de consonant	
altostrat	altoestrat
altostratus	altoestratus
angiospasme	angioespasme
angiospasmòdic	angioespasmòdic
angiostenosi	angioestenosi
arteriosclerosi	arterioesclerosi
arterioscleròtic	arterioescleròtic
arteriospasme	arterioespasme
astable	anestable
biostratigrafia	bioestratigrafia
biostratigràfic	bioestratigràfic
broncospirometria	broncoespirometria
cirrostrat	cirroestrat
cirrostratus	cirroestratus
citosquelet	citoesquelet
corticosteroide	corticoesteroide
cronostratigrafia	cronoestratigrafia
cronostratigràfic	cronoestratigràfic
dermatosquelet	dermatoesquelet
electrostàtic	electroestàtic
endosquelet	endoesquelet
exosquelet	exoesquelet
